model mu Z Age M(*+remn) F275_wfc3 F336_WFC3 F435W_WFC F475W_WFC F555W_WFC F606W_WFC F775W_WFC F502N_WFC F550M_WFC F658N_WFC F660N_WFC F439W_WFPC2 F555W_WFPC2 F675W_WFPC2
Ebi0.30Zm1.79T00.6000_iTp0.00_baseFe.fits 1.30 -1.79000 0.60000 0.35000 5.23236 5.25747 5.50557 5.44575 5.31640 5.20729 4.74083 5.39996 5.26488 4.94866 4.97293 5.52048 5.34051 4.98052
Ebi0.30Zm1.79T00.7000_iTp0.00_baseFe.fits 1.30 -1.79000 0.70000 0.34800 5.46717 5.47462 5.69707 5.63369 5.50072 5.38973 4.91713 5.58488 5.44834 5.12799 5.15228 5.71164 5.52546 5.15869
Ebi0.30Zm1.79T00.8000_iTp0.00_baseFe.fits 1.30 -1.79000 0.80000 0.34630 5.60584 5.62686 5.84207 5.76824 5.61999 5.50038 5.00756 5.71070 5.56287 5.22235 5.24835 5.85777 5.64740 5.25417
Ebi0.30Zm1.79T00.9000_iTp0.00_baseFe.fits 1.30 -1.79000 0.90000 0.34490 5.78462 5.73366 5.91043 5.80777 5.61519 5.46752 4.89772 5.72837 5.54288 5.13955 5.17165 5.92993 5.64959 5.17361
Ebi0.30Zm1.79T01.0000_iTp0.00_baseFe.fits 1.30 -1.79000 1.00000 0.34340 6.07881 5.93392 6.08546 5.95817 5.72986 5.56453 4.96850 5.85995 5.64629 5.20692 5.24339 6.10876 5.76982 5.24664
Ebi0.30Zm1.79T01.2500_iTp0.00_baseFe.fits 1.30 -1.79000 1.25000 0.34080 6.66995 6.36645 6.48550 6.33908 6.08622 5.91222 5.32112 6.22506 5.99582 5.54052 5.57924 6.51117 6.13008 5.58622
Ebi0.30Zm1.79T01.5000_iTp0.00_baseFe.fits 1.30 -1.79000 1.50000 0.33900 6.95246 6.63075 6.75719 6.60379 6.34073 6.16163 5.56393 6.48486 6.24690 5.78117 5.82156 6.78414 6.38614 5.82927
Ebi0.30Zm1.79T01.7500_iTp0.00_baseFe.fits 1.30 -1.79000 1.75000 0.33790 7.19643 6.82722 6.95721 6.80469 6.54355 6.36679 5.78098 6.68571 6.45065 5.99032 6.02996 6.98395 6.58870 6.03901
Ebi0.30Zm1.79T02.0000_iTp0.00_baseFe.fits 1.30 -1.79000 2.00000 0.33690 7.45684 6.98785 7.11170 6.95483 6.68768 6.50794 5.91603 6.83248 6.59304 6.12632 6.16658 7.13923 6.73382 6.17586
Ebi0.30Zm1.79T02.2500_iTp0.00_baseFe.fits 1.30 -1.79000 2.25000 0.33620 7.61725 7.11626 7.25858 7.09691 6.82285 6.63997 6.04199 6.97045 6.72634 6.25281 6.29395 7.28749 6.87012 6.30343
Ebi0.30Zm1.79T02.5000_iTp0.00_baseFe.fits 1.30 -1.79000 2.50000 0.33550 7.73255 7.23304 7.40716 7.24498 6.96938 6.78670 6.19278 7.11747 6.87262 6.39918 6.44068 7.43698 7.01705 6.45122
Ebi0.30Zm1.79T02.7500_iTp0.00_baseFe.fits 1.30 -1.79000 2.75000 0.33500 7.83106 7.29488 7.51928 7.35413 7.07181 6.88620 6.28996 7.22333 6.97318 6.49192 6.53499 7.55155 7.12080 6.54728
Ebi0.30Zm1.79T03.0000_iTp0.00_baseFe.fits 1.30 -1.79000 3.00000 0.33450 7.99538 7.42214 7.63038 7.46080 7.17295 6.98525 6.38755 7.32674 7.07266 6.58788 6.63122 7.66316 7.22286 6.64397
Ebi0.30Zm1.79T03.2500_iTp0.00_baseFe.fits 1.30 -1.79000 3.25000 0.33410 8.12106 7.53722 7.73442 7.56204 7.27094 7.08220 6.48414 7.42594 7.16977 6.68333 6.72666 7.76748 7.32144 6.73983
Ebi0.30Zm1.79T03.5000_iTp0.00_baseFe.fits 1.30 -1.79000 3.50000 0.33370 8.24466 7.64488 7.82378 7.64752 7.35176 7.16081 6.55802 7.50884 7.24918 6.75866 6.80218 7.85717 7.40297 6.81540
Ebi0.30Zm1.79T03.7500_iTp0.00_baseFe.fits 1.30 -1.79000 3.75000 0.33340 8.35056 7.74601 7.91199 7.73073 7.42951 7.23636 6.62947 7.58872 7.32541 6.83125 6.87496 7.94571 7.48148 6.88806
Ebi0.30Zm1.79T04.0000_iTp0.00_baseFe.fits 1.30 -1.79000 4.00000 0.33310 8.46743 7.84529 7.99663 7.81116 7.50508 7.30985 6.69900 7.66627 7.39955 6.90183 6.94572 8.03073 7.55779 6.95877
Ebi0.30Zm1.79T04.5000_iTp0.00_baseFe.fits 1.30 -1.79000 4.50000 0.33260 8.66504 8.02174 8.15200 7.96019 7.64688 7.44883 6.83349 7.81085 7.53933 7.03713 7.08119 8.18676 7.70071 7.09424
Ebi0.30Zm1.79T05.0000_iTp0.00_baseFe.fits 1.30 -1.79000 5.00000 0.33220 8.83369 8.16773 8.27719 8.08010 7.76045 7.55935 6.93752 7.92747 7.65103 7.14264 7.18711 8.31261 7.81519 7.20064
Ebi0.30Zm1.79T05.5000_iTp0.00_baseFe.fits 1.30 -1.79000 5.50000 0.33180 8.99259 8.30796 8.39528 8.19275 7.86716 7.66355 7.03739 8.03675 7.75602 7.24335 7.28800 8.43108 7.92269 7.30173
Ebi0.30Zm1.79T06.0000_iTp0.00_baseFe.fits 1.30 -1.79000 6.00000 0.33150 9.11851 8.42614 8.51382 8.31034 7.98348 7.77929 7.15271 8.15375 7.87199 7.35787 7.40259 8.54991 8.03917 7.41683
Ebi0.30Zm1.79T06.5000_iTp0.00_baseFe.fits 1.30 -1.79000 6.50000 0.33120 9.26208 8.55526 8.60356 8.39670 8.06687 7.86126 7.22998 8.23835 7.95452 7.43802 7.48263 8.63938 8.12290 7.49651
Ebi0.30Zm1.79T07.0000_iTp0.00_baseFe.fits 1.30 -1.79000 7.00000 0.33090 9.35916 8.64510 8.68943 8.47941 8.14577 7.93832 7.30351 8.31900 8.03227 7.51232 7.55711 8.72572 8.20235 7.57105
Ebi0.30Zm1.79T07.5000_iTp0.00_baseFe.fits 1.30 -1.79000 7.50000 0.33080 9.44412 8.72123 8.77107 8.55826 8.22074 8.01126 7.37236 8.39584 8.10603 7.58203 7.62714 8.80811 8.27793 7.64121
Ebi0.30Zm1.79T08.0000_iTp0.00_baseFe.fits 1.30 -1.79000 8.00000 0.33060 9.53032 8.80552 8.84687 8.63189 8.29194 8.08124 7.43954 8.46815 8.17650 7.65019 7.69542 8.88410 8.34946 7.70948
Ebi0.30Zm1.79T08.5000_iTp0.00_baseFe.fits 1.30 -1.79000 8.50000 0.33040 9.61347 8.88576 8.91201 8.69538 8.35385 8.14244 7.49887 8.53070 8.23790 7.71051 7.75563 8.94918 8.41157 7.76966
Ebi0.30Zm1.79T09.0000_iTp0.00_baseFe.fits 1.30 -1.79000 9.00000 0.33020 9.67234 8.95895 8.96306 8.74885 8.41076 8.20114 7.56144 8.58582 8.29568 7.77235 7.81672 8.99929 8.46796 7.83096
Ebi0.30Zm1.79T09.5000_iTp0.00_baseFe.fits 1.30 -1.79000 9.50000 0.33010 9.71384 9.03139 9.01521 8.80212 8.46600 8.25756 7.62045 8.63970 8.35146 7.83078 7.87465 9.05079 8.52293 7.88924
Ebi0.30Zm1.79T10.0000_iTp0.00_baseFe.fits 1.30 -1.79000 10.00000 0.32990 9.77008 9.08924 9.06479 8.85338 8.51909 8.31129 7.67484 8.69198 8.40490 7.88533 7.92908 9.10007 8.57576 7.94372
Ebi0.30Zm1.79T10.5000_iTp0.00_baseFe.fits 1.30 -1.79000 10.50000 0.32980 9.79437 9.14104 9.11134 8.90183 8.57008 8.36313 7.72706 8.74199 8.45643 7.93859 7.98192 9.14594 8.62624 7.99657
Ebi0.30Zm1.79T11.0000_iTp0.00_baseFe.fits 1.30 -1.79000 11.00000 0.32950 9.80274 9.17464 9.15775 8.95019 8.62010 8.41332 7.77646 8.79189 8.50664 7.98866 8.03211 9.19225 8.67592 8.04677
Ebi0.30Zm1.79T11.5000_iTp0.00_baseFe.fits 1.30 -1.79000 11.50000 0.32920 9.90224 9.23367 9.21642 9.00630 8.67333 8.46500 7.82551 8.84657 8.55897 8.03813 8.08182 9.25125 8.72940 8.09633
Ebi0.30Zm1.79T12.0000_iTp0.00_baseFe.fits 1.30 -1.79000 12.00000 0.32890 9.98540 9.29011 9.27656 9.06385 8.72693 8.51636 7.87274 8.90235 8.61136 8.08561 8.12996 9.31227 8.78361 8.14452
Ebi0.30Zm1.79T12.5000_iTp0.00_baseFe.fits 1.30 -1.79000 12.50000 0.32860 10.01965 9.33629 9.33454 9.11942 8.77922 8.56677 7.91901 8.95642 8.66263 8.13290 8.17772 9.37090 8.83627 8.19230
Ebi0.30Zm1.79T13.0000_iTp0.00_baseFe.fits 1.30 -1.79000 13.00000 0.32850 10.05818 9.38322 9.39687 9.18002 8.83689 8.62273 7.97197 9.01607 8.71928 8.18582 8.23115 9.43394 8.89439 8.24595
Ebi0.30Zm1.79T13.5000_iTp0.00_baseFe.fits 1.30 -1.79000 13.50000 0.32820 10.08443 9.42041 9.44816 9.22866 8.88164 8.66518 8.01044 9.06295 8.76281 8.22439 8.27024 9.48605 8.93970 8.28517
Ebi0.30Zm1.79T14.0000_iTp0.00_baseFe.fits 1.30 -1.79000 14.00000 0.32800 10.12610 9.46401 9.49995 9.27738 8.92618 8.70754 8.04882 9.10982 8.80603 8.26317 8.30966 9.53865 8.98481 8.32460
